Image Name,Generated Caption,224x224 Image Path
000053.jpg,"The person has dark hair, wears sunglasses, and has a neutral expression. The face is slightly tilted, and the background is blurred.",./experiments/prompt_4/000053.jpg
000054.jpg,"Blonde woman with wavy hair, smiling, wearing a white top, outdoors, natural lighting, green leaves in background.",./experiments/prompt_4/000054.jpg
000055.jpg,"The image shows a man with dark hair, a slight smile, and a serious expression. He is wearing a black suit, white shirt, and red tie. The background is dark.",./experiments/prompt_4/000055.jpg
000056.jpg,"The image shows a person with dark hair, a serious expression, and a slight smile. They have a nose piercing and are wearing a black shirt. The face is centered in the image,",./experiments/prompt_4/000056.jpg
000057.jpg,"The image shows a person with dark hair styled in a sleek updo, wearing large, dangling earrings. The person has a neutral expression, with a slight hint of a smile. The",./experiments/prompt_4/000057.jpg
000058.jpg,"The image shows a person with long, dark hair styled in loose waves, wearing makeup including eyeliner, mascara, and nude lipstick. The person has a neutral expression, with a slight smile.",./experiments/prompt_4/000058.jpg
000059.jpg,"The image shows a person with long, dark hair styled in loose waves, wearing hoop earrings. The person has a neutral expression, with slightly parted lips and a hint of a smile.",./experiments/prompt_4/000059.jpg
000060.jpg,"The person has short, dark hair, a mustache, and a goatee. They are wearing a patterned headscarf and a blue shirt. The face is slightly turned to the side, and",./experiments/prompt_4/000060.jpg
000061.jpg,"The image shows a person with curly hair, a light complexion, and a neutral expression. They are wearing a dark blue shirt and have a small earring in their left ear. The face is",./experiments/prompt_4/000061.jpg
000062.jpg,"The image shows a person with long, straight hair, bangs, and a slight smile. They have a small nose piercing and are wearing minimal makeup. The face is centered in the image,",./experiments/prompt_4/000062.jpg
000063.jpg,"Blonde woman with wavy hair, smiling, wearing a black top, indoors, face centered.",./experiments/prompt_4/000063.jpg
000064.jpg,"The image shows a person with short, dark hair, a slight beard, and a light skin tone. They have a neutral expression, are looking directly at the camera, and are wearing a",./experiments/prompt_4/000064.jpg
000065.jpg,"The image shows a person with short, spiky black hair, a slight smile, and a light complexion. They are wearing a green shirt and have a neutral expression. The face is centered",./experiments/prompt_4/000065.jpg
000066.jpg,"The image shows a person with dark hair styled in a half-up, half-down hairstyle. They have a slight smile, red lipstick, and large hoop earrings. The face is slightly",./experiments/prompt_4/000066.jpg
000067.jpg,"The person has short, light brown hair, a serious expression, and is holding a cigarette. The face is slightly tilted, and the background is blurred.",./experiments/prompt_4/000067.jpg
000068.jpg,"The image shows an older man with gray hair, wearing a black hat and a brown jacket. He has a slight smile, and his eyes are looking slightly to the side. He has a",./experiments/prompt_4/000068.jpg
000069.jpg,"The image shows a person with short, dark hair, a light beard, and a slight smile. They are wearing a dark jacket over a light blue shirt. The background has text and a",./experiments/prompt_4/000069.jpg
000070.jpg,"The image shows a person with short, dark hair, a light complexion, and a slight smile. They are wearing a dark suit jacket and a light blue shirt. The background is blurred,",./experiments/prompt_4/000070.jpg
000071.jpg,"Blonde hair, bangs, subtle smile, blue eyes, earrings, black dress, slight smile, left side of face, right side of image.",./experiments/prompt_4/000071.jpg
000072.jpg,"The image shows a smiling man with short black hair, wearing a dark suit, white shirt, and blue tie. He has a slight smile, and his eyes are looking slightly to the",./experiments/prompt_4/000072.jpg
000073.jpg,"The image shows a person with long, wavy dark hair, a serious expression, and subtle makeup. They are wearing a pair of large, dangling earrings. The face is slightly tilted",./experiments/prompt_4/000073.jpg
000074.jpg,"The image shows a person with a black top hat, a white and black checkered shirt, and a ring on the left hand. The person has long, dark hair, is looking",./experiments/prompt_4/000074.jpg
000075.jpg,"The image shows a person with red hair styled in curls, wearing a white hair accessory. They have a serious expression, with dark makeup, including red lipstick. The face is slightly",./experiments/prompt_4/000075.jpg
000076.jpg,"The person has long, dark hair, a beard, and a slight smile. They are wearing a dark-colored shirt. The background includes a green and white logo and a red and white",./experiments/prompt_4/000076.jpg
000077.jpg,"The image shows a person with dark hair styled in loose waves, wearing a light-colored top. The person has a slight smile, is looking directly at the camera, and has a visible",./experiments/prompt_4/000077.jpg
000078.jpg,"The image shows a person with long, dark hair styled in a high ponytail, wearing a green top. The person has a neutral expression, with makeup including red lipstick and dark eyeshadow. The",./experiments/prompt_4/000078.jpg
000079.jpg,"The image shows a bald man with a slight smile, wearing a black shirt. He has a clean-shaven face, no visible accessories, and is looking directly at the camera.",./experiments/prompt_4/000079.jpg
000080.jpg,"The image shows a person with short, dark hair, a slight smile, and a serious expression. They are wearing a green shirt and a brown jacket. The face is centered in the",./experiments/prompt_4/000080.jpg
000081.jpg,"The image shows a smiling man with dark, slightly wavy hair, wearing a black shirt. He has a light complexion, dark eyes, and a small nose. The background is dark, and",./experiments/prompt_4/000081.jpg
000082.jpg,"The image shows a person with short, dark hair, a slight smile, and a green shirt. The background is blurred greenery.",./experiments/prompt_4/000082.jpg
000083.jpg,"The image shows a person with long, wavy brown hair, a slight smile, and a neutral expression. They have a nose piercing and are wearing a necklace. The face is centered in the",./experiments/prompt_4/000083.jpg
000084.jpg,"The image shows a person with short, curly gray hair, wearing large, dangling earrings. The person has a neutral expression, with slightly downturned lips. The face is slightly",./experiments/prompt_4/000084.jpg
000085.jpg,"The person has long, wavy red hair, a neutral expression, and is wearing a necklace. The face is centered in the image.",./experiments/prompt_4/000085.jpg
000086.jpg,"A person with light brown hair tied back, making a kissing face, wearing a pink top and a gold necklace. Face is centered, looking slightly to the right.",./experiments/prompt_4/000086.jpg
000087.jpg,"The image shows a person with dark hair, wearing a headband, smiling, and looking slightly to the right.",./experiments/prompt_4/000087.jpg
000088.jpg,"The image shows a person with long, wavy brown hair, wearing a purple choker. The person has a neutral expression, with slightly parted lips and a hint of a smile. The background",./experiments/prompt_4/000088.jpg
000089.jpg,"The image shows a person with curly hair, a serious expression, and a slight smile. They have a mole on their left cheek and are wearing earrings. The face is centered in the",./experiments/prompt_4/000089.jpg
000090.jpg,"The image shows a person with short, light brown hair, green eyes, and a neutral expression. They are wearing a white shirt with a black stripe on the left side. The background is",./experiments/prompt_4/000090.jpg
000091.jpg,"The image shows a person with dark hair, a serious expression, and a slight frown. They are wearing a dark suit, white shirt, and patterned tie. The background has logos and",./experiments/prompt_4/000091.jpg
000092.jpg,"The image shows a person with short, wavy blonde hair, a slight smile, and a neutral expression. They are wearing a patterned top and have a slight blush on their cheeks. The face",./experiments/prompt_4/000092.jpg
000093.jpg,"A woman with long, straight brown hair, wearing sunglasses, and a serious expression. She has a necklace and is positioned slightly to the right of the center.",./experiments/prompt_4/000093.jpg
000094.jpg,"Blonde woman with bangs, smiling, wearing earrings, light makeup, white top, left side of face visible, background text.",./experiments/prompt_4/000094.jpg
000095.jpg,"A person with short, light brown hair, wearing a white visor, has a surprised or shocked expression. The face is slightly tilted, and the background is blurred.",./experiments/prompt_4/000095.jpg
000096.jpg,"The image shows a person with curly hair, dark eyes, and a neutral expression. The person is wearing a dark-colored top. The face is centered in the image, and the background",./experiments/prompt_4/000096.jpg
000097.jpg,"The image shows a person with light brown hair, blue eyes, and a serious expression. They have a small earring in their left ear and are looking directly at the camera. The background is",./experiments/prompt_4/000097.jpg
000098.jpg,"The image shows a person with long, wavy dark hair, a serious expression, and dark makeup. They are wearing a blue choker necklace. The face is centered in the image, with the",./experiments/prompt_4/000098.jpg
000099.jpg,"The image shows a person with long, wavy brown hair, a slight smile, and a natural makeup look. The background is red with black shapes.",./experiments/prompt_4/000099.jpg
000100.jpg,"The image shows a person with light brown hair styled in an updo, wearing red lipstick, and a subtle smile. The background is black with white and yellow text.",./experiments/prompt_4/000100.jpg
